Film,Year,Awards,Nominations
Oppenheimer,2023,7,13
Poor Things,2023,5,11
The Zone of Interest,2023,3,9
American Fiction,2023,1,1
Anatomy of a Fall,2023,1,7
Barbie,2023,0,5
The Boy and the Heron,2023,1,1
Godzilla Minus One,2023,0,0
The Holdovers,2023,1,7
The Last Repair Shop,2023,0,0
20 Days in Mariupol,2023,1,2
War Is Over! Inspired by the Music of John and Yoko,2023,0,0
Killers of the Flower Moon,2023,0,9
Maestro,2023,0,7
All of Us Strangers,2023,0,6
Saltburn,2023,0,5
The Wonderful Story of Henry Sugar,2023,0,0
