Year,Category,Actor,Film,Character,Result
1996,Actor in a Leading Role,Geoffrey Rush,Shine,David Helfgott,Winner
1996,Actor in a Leading Role,Ralph Fiennes,The English Patient,Count Laszlo de Almásy,Nominee
1996,Actor in a Leading Role,Ian McKellen,Richard III,Richard III,Nominee
1996,Actor in a Leading Role,Timothy Spall,Secrets & Lies,Maurice Purley,Nominee
1997,Actor in a Leading Role,Robert Carlyle,The Full Monty,Gaz Schofield,Winner
1997,Actor in a Leading Role,Billy Connolly,Mrs Brown,John Brown,Nominee
1997,Actor in a Leading Role,Kevin Spacey,L.A. Confidential,Jack Vincennes,Nominee
1997,Actor in a Leading Role,Ray Winstone,Nil by Mouth,Ray,Nominee
1998,Actor in a Leading Role,Roberto Benigni,Life is Beautiful ,Guido,Winner
1998,Actor in a Leading Role,Michael Caine,Little Voice,Ray Say,Nominee
1998,Actor in a Leading Role,Tom Hanks,Saving Private Ryan,Captain John H. Miller,Nominee
1998,Actor in a Leading Role,Joseph Fiennes,Shakespeare in Love,William Shakespeare,Nominee
1999,Actor in a Leading Role,Kevin Spacey,American Beauty,Lester Burnham,Winner
1999,Actor in a Leading Role,Jim Broadbent,Topsy-Turvy,W. S. Gilbert,Nominee
1999,Actor in a Leading Role,Russell Crowe,The Insider,Jeffrey Wigand,Nominee
1999,Actor in a Leading Role,Ralph Fiennes,The End of the Affair,Maurice Bendrax,Nominee
1999,Actor in a Leading Role,Om Puri,East is East,George Khan,Nominee
2000,Actor in a Leading Role,Jamie Bell,Billy Elliot,Billy Elliot,Winner
2000,Actor in a Leading Role,Russell Crowe,Gladiator,Maximus Decimus Meridius,Nominee
2000,Actor in a Leading Role,Michael Douglas,Wonder Boys,Grady Tripp,Nominee
2000,Actor in a Leading Role,Tom Hanks,Cast Away,Chuck Noland,Nominee
2000,Actor in a Leading Role,Geoffrey Rush,Quills,Marquis de Sade,Nominee
2001,Actor in a Leading Role,Russell Crowe,A Beautiful Mind,John Forbes Nash Jr.,Winner
2001,Actor in a Leading Role,Jim Broadbent,Iris,John Bayley,Nominee
2001,Actor in a Leading Role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf,Nominee
2001,Actor in a Leading Role,Kevin Spacey,The Shipping News,Quoyle,Nominee
2001,Actor in a Leading Role,Tom Wilkinson,In the Bedroom,Matt Fowler,Nominee
2002,Actor in a Leading Role,Daniel Day-Lewis,Gangs of New York,"William ""Bill the Butcher"" Cutting",Winner
2002,Actor in a Leading Role,Adrien Brody,The Pianist,Władysław Szpilman,Nominee
2002,Actor in a Leading Role,Nicolas Cage,Adaptation,Charlie and Donald Kaufman,Nominee
2002,Actor in a Leading Role,Michael Caine,The Quiet American,Thomas Fowler,Nominee
2002,Actor in a Leading Role,Jack Nicholson,About Schmidt,Warren Schmidt,Nominee
2003,Actor in a Leading Role,Bill Murray,Lost in Translation,Bob Harris,Winner
2003,Actor in a Leading Role,Benicio del Toro,21 Grams,Jack Jordan,Nominee
2003,Actor in a Leading Role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow,Nominee
2003,Actor in a Leading Role,Jude Law,Cold Mountain,W. P. Inman,Nominee
2003,Actor in a Leading Role,Sean Penn,21 Grams,Paul Rivers,Nominee
2003,Actor in a Leading Role,Sean Penn,Mystic River,Jimmy Markum,
2004,Actor in a Leading Role,Jamie Foxx,Ray,Ray Charles,Winner
2004,Actor in a Leading Role,Jim Carrey,Eternal Sunshine of the Spotless Mind,Joel Barish,Nominee
2004,Actor in a Leading Role,Johnny Depp,Finding Neverland,J. M. Barrie,Nominee
2004,Actor in a Leading Role,Leonardo DiCaprio,The Aviator,Howard Hughes,Nominee
2004,Actor in a Leading Role,Gael García Bernal,The Motorcycle Diaries ,"Ernesto ""Che"" Guevara",Nominee
2005,Actor in a Leading Role,Philip Seymour Hoffman,Capote,Truman Capote,Winner
2005,Actor in a Leading Role,Ralph Fiennes,The Constant Gardener,Justin Quayle,Nominee
2005,Actor in a Leading Role,Heath Ledger,Brokeback Mountain,Ennis Del Mar,Nominee
2005,Actor in a Leading Role,Joaquin Phoenix,Walk the Line,Johnny Cash,Nominee
2005,Actor in a Leading Role,David Strathairn,"Good Night, and Good Luck",Edward R. Murrow,Nominee
2006,Actor in a Leading Role,Forest Whitaker,The Last King of Scotland,Idi Amin,Winner
2006,Actor in a Leading Role,Daniel Craig,Casino Royale,James Bond,Nominee
2006,Actor in a Leading Role,Leonardo DiCaprio,The Departed,"William ""Billy"" Costigan, Jr.",Nominee
2006,Actor in a Leading Role,Richard Griffiths,The History Boys,Hector,Nominee
2006,Actor in a Leading Role,Peter O'Toole,Venus,Maurice Russell,Nominee
2007,Actor in a Leading Role,Daniel Day-Lewis,There Will Be Blood,Daniel Plainview,Winner
2007,Actor in a Leading Role,George Clooney,Michael Clayton,Michael Clayton,Nominee
2007,Actor in a Leading Role,James McAvoy,Atonement,Robbie Turner,Nominee
2007,Actor in a Leading Role,Viggo Mortensen,Eastern Promises,Nikolai Luzhin,Nominee
2007,Actor in a Leading Role,Ulrich Mühe (posthumous),The Lives of Others,Gerd Wiesler,Nominee
2008,Actor in a Leading Role,Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson",Winner
2008,Actor in a Leading Role,Frank Langella,Frost/Nixon,Richard Nixon,Nominee
2008,Actor in a Leading Role,Dev Patel,Slumdog Millionaire,Jamal Malik,Nominee
2008,Actor in a Leading Role,Sean Penn,Milk,Harvey Milk,Nominee
2008,Actor in a Leading Role,Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button,Nominee
2009,Actor in a Leading Role,Colin Firth,A Single Man,George Falconer,Winner
2009,Actor in a Leading Role,Jeff Bridges,Crazy Heart,"Otis ""Bad"" Blake",Nominee
2009,Actor in a Leading Role,George Clooney,Up in the Air,Ryan Bingham,Nominee
2009,Actor in a Leading Role,Jeremy Renner,The Hurt Locker,SFC. William James,Nominee
2009,Actor in a Leading Role,Andy Serkis,Sex & Drugs & Rock & Roll,Ian Dury,Nominee
2010,Actor in a Leading Role,Colin Firth,The King's Speech,King George VI,Winner
2010,Actor in a Leading Role,Javier Bardem,Biutiful,Uxbal,Nominee
2010,Actor in a Leading Role,Jeff Bridges,True Grit,"Reuben ""Rooster"" Cogburn",Nominee
2010,Actor in a Leading Role,Jesse Eisenberg,The Social Network,Mark Zuckerberg,Nominee
2010,Actor in a Leading Role,James Franco,127 Hours,Aron Ralston,Nominee
2011,Actor in a Leading Role,Jean Dujardin,The Artist,George Valentin,Winner
