Year,Category,Actor,Film,Character,Result
1996,Actor in a Supporting Role,Paul Scofield,The Crucible,Thomas Danforth,Winner
1996,Actor in a Supporting Role,John Gielgud,Shine,Cecil Parkes,Nominee
1996,Actor in a Supporting Role,Edward Norton,Primal Fear,Aaron Stampler,Nominee
1996,Actor in a Supporting Role,Alan Rickman,Michael Collins,Éamon de Valera,Nominee
1997,Actor in a Supporting Role,Tom Wilkinson,The Full Monty,Gerald,Winner
1997,Actor in a Supporting Role,Mark Addy,The Full Monty,Dave,Nominee
1997,Actor in a Supporting Role,Rupert Everett,My Best Friend's Wedding,George Downes,Nominee
1997,Actor in a Supporting Role,Burt Reynolds,Boogie Nights,Jack Horner,Nominee
1998,Actor in a Supporting Role,Geoffrey Rush,Shakespeare in Love,Philip Henslowe,Winner
1998,Actor in a Supporting Role,Ed Harris,The Truman Show,Christof,Nominee
1998,Actor in a Supporting Role,Geoffrey Rush,Elizabeth,Francis Walsingham,Nominee
1998,Actor in a Supporting Role,Tom Wilkinson,Shakespeare in Love,Hugh Fennyman,Nominee
1999,Actor in a Supporting Role,Jude Law,The Talented Mr. Ripley,Dickie Greenleaf,Winner
1999,Actor in a Supporting Role,Wes Bentley,American Beauty,Ricky Fitts,Nominee
1999,Actor in a Supporting Role,Michael Caine,The Cider House Rules,Wilbur Larch,Nominee
1999,Actor in a Supporting Role,Rhys Ifans,Notting Hill,Spike,Nominee
1999,Actor in a Supporting Role,Timothy Spall,Topsy-Turvy,Richard Temple,Nominee
2000,Actor in a Supporting Role,Benicio del Toro,Traffic,Javier Rodriguez,Winner
2000,Actor in a Supporting Role,Albert Finney,Erin Brockovich,Edward L. Masry,Nominee
2000,Actor in a Supporting Role,Gary Lewis,Billy Elliot,Jackie Elliot,Nominee
2000,Actor in a Supporting Role,Joaquin Phoenix,Gladiator,Commodus,Nominee
2000,Actor in a Supporting Role,Oliver Reed (posthumous),Gladiator,Proximo,Nominee
2001,Actor in a Supporting Role,Jim Broadbent,Moulin Rouge!,Harold Zidler,Winner
2001,Actor in a Supporting Role,Hugh Bonneville,Iris,John Bayley (Young),Nominee
