Year,Category,Actress,Film,Character,Result
1996,Actress in a Supporting Role,Juliette Binoche,The English Patient,Hana,Winner
1996,Actress in a Supporting Role,Lauren Bacall,The Mirror Has Two Faces,Hannah Morgan,Nominee
1996,Actress in a Supporting Role,Marianne Jean-Baptiste,Secrets & Lies,Hortense Cumberbatch,Nominee
1996,Actress in a Supporting Role,Lynn Redgrave,Shine,Gillian,Nominee
1997,Actress in a Supporting Role,Sigourney Weaver,The Ice Storm,Janey Carver,Winner
1997,Actress in a Supporting Role,Jennifer Ehle,Wilde,Constance Lloyd Wilde,Nominee
1997,Actress in a Supporting Role,Lesley Sharp,The Full Monty,Jeanette,Nominee
1997,Actress in a Supporting Role,Zoe Wanamaker,Wilde,Ada Leverson,Nominee
1998,Actress in a Supporting Role,Judi Dench,Shakespeare in Love,Queen Elizabeth I,Winner
1998,Actress in a Supporting Role,Kathy Bates,Primary Colors,Libby Holden,Nominee
1998,Actress in a Supporting Role,Brenda Blethyn,Little Voice,Mari Hoff,Nominee
1998,Actress in a Supporting Role,Lynn Redgrave,Gods and Monsters,Hanna,Nominee
1999,Actress in a Supporting Role,Maggie Smith,Tea with Mussolini,Hester Random,Winner
1999,Actress in a Supporting Role,Thora Birch,American Beauty,Jane Burnham,Nominee
1999,Actress in a Supporting Role,Cate Blanchett,The Talented Mr. Ripley,Meredith Logue,Nominee
1999,Actress in a Supporting Role,Cameron Diaz,Being John Malkovich,Lotte Schwartz,Nominee
1999,Actress in a Supporting Role,Mena Suvari,American Beauty,Angela Hayes,Nominee
2000,Actress in a Supporting Role,Julie Walters,Billy Elliot,Georgia Wilkinson,Winner
2000,Actress in a Supporting Role,Judi Dench,Chocolat,Armande Voizin,Nominee
2000,Actress in a Supporting Role,Frances McDormand,Almost Famous,Elaine Miller,Nominee
2000,Actress in a Supporting Role,Lena Olin,Chocolat,Josephine Muscat,Nominee
2000,Actress in a Supporting Role,Ziyi Zhang,"Crouching Tiger, Hidden Dragon",Jen Yu,Nominee
