Year,Category,Director,Film,Result
1996,Directing,Joel Coen,Fargo,Winner
1996,Directing,Scott Hicks,Shine,Nominee
1996,Directing,Mike Leigh,Secrets & Lies,Nominee
1996,Directing,Anthony Minghella,The English Patient,Nominee
1997,Directing,Baz Luhrmann,Romeo + Juliet,Winner
1997,Directing,James Cameron,Titanic,Nominee
1997,Directing,Peter Cattaneo,The Full Monty,Nominee
1997,Directing,Curtis Hanson,L.A. Confidential,Nominee
1998,Directing,Peter Weir,The Truman Show,Winner
1998,Directing,Shekhar Kapur,Elizabeth,Nominee
1998,Directing,John Madden,Shakespeare in Love,Nominee
1998,Directing,Steven Spielberg,Saving Private Ryan,Nominee
1999,Directing,Pedro Almodóvar,All About My Mother,Winner
1999,Directing,Neil Jordan,The End of the Affair,Nominee
1999,Directing,Sam Mendes,American Beauty,Nominee
1999,Directing,Anthony Minghella,The Talented Mr. Ripley,Nominee
1999,Directing,M. Night Shyamalan,The Sixth Sense,Nominee
2000,Directing,Ang Lee,"Crouching Tiger, Hidden Dragon",Winner
2000,Directing,Stephen Daldry,Billy Elliot,Nominee
2000,Directing,Ridley Scott,Gladiator,Nominee
2000,Directing,Steven Soderbergh,Erin Brockovich,Nominee
2000,Directing,Steven Soderbergh,Traffic,Nominee
2001,Directing,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,Winner
2001,Directing,Robert Altman,Gosford Park,Nominee
2001,Directing,Ron Howard,A Beautiful Mind,Nominee
2001,Directing,Jean-Pierre Jeunet,Amélie,Nominee
2001,Directing,Baz Luhrmann,Moulin Rouge!,Nominee
2002,Directing,Roman Polanski,The Pianist,Winner
2002,Directing,Stephen Daldry,The Hours,Nominee
2002,Directing,Peter Jackson,The Lord of the Rings: The Two Towers,Nominee
2002,Directing,Rob Marshall,Chicago,Nominee
2002,Directing,Martin Scorsese,Gangs of New York,Nominee
2003,Directing,Peter Weir,Master and Commander: The Far Side of the World,Winner
2003,Directing,Tim Burton,Big Fish,Nominee
2003,Directing,Sofia Coppola,Lost in Translation,Nominee
2003,Directing,Peter Jackson,The Lord of the Rings: The Return of the King,Nominee
2003,Directing,Anthony Minghella,Cold Mountain,Nominee
2004,Directing,Mike Leigh,Vera Drake,Winner
2004,Directing,Marc Forster,Finding Neverland,Nominee
