Year,Category,Full Name,Movie,Win
1997,Best Director - Motion Picture,James Cameron,Titanic,TRUE
1997,Best Director - Motion Picture,Steven Spielberg,Amistad,FALSE
1997,Best Director - Motion Picture,James L. Brooks,As Good as It Gets,FALSE
1997,Best Director - Motion Picture,Curtis Hanson,L.A. Confidential,FALSE
1997,Best Director - Motion Picture,Jim Sheridan,"Boxer, The",FALSE
1997,Best Motion Picture - Drama,James Cameron,Titanic,TRUE
1997,Best Motion Picture - Drama,Jim Sheridan,"Boxer, The",FALSE
1997,Best Motion Picture - Drama,Gus Van Sant,Good Will Hunting,FALSE
1997,Best Motion Picture - Drama,Curtis Hanson,L.A. Confidential,FALSE
1997,Best Motion Picture - Drama,Steven Spielberg,Amistad,FALSE
1997,Best Motion Picture - Musical or Comedy,James L. Brooks,As Good as It Gets,TRUE
1997,Best Motion Picture - Musical or Comedy,Peter Cattaneo,"Full Monty, The",FALSE
1997,Best Motion Picture - Musical or Comedy,Barry Sonnenfeld,Men in Black,FALSE
1997,Best Motion Picture - Musical or Comedy,P. J. Hogan,My Best Friend's Wedding,FALSE
1997,Best Motion Picture - Musical or Comedy,Barry Levinson,Wag the Dog,FALSE
1997,Best Performance by an Actor in a Motion Picture - Drama,Peter Fonda,Ulee's Gold,TRUE
1997,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,Good Will Hunting,FALSE
1997,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,"Boxer, The",FALSE
1997,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Titanic,FALSE
1997,Best Performance by an Actor in a Motion Picture - Drama,Djimon Hounsou,Amistad,FALSE
1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,As Good as It Gets,TRUE
1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,In & Out,FALSE
1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Liar Liar,FALSE
1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Wag the Dog,FALSE
1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Samuel L. Jackson,Jackie Brown,FALSE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burt Reynolds,Boogie Nights,TRUE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robin Williams,Good Will Hunting,FALSE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Rupert Everett,My Best Friend's Wedding,FALSE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Hopkins,Amistad,FALSE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Greg Kinnear,As Good as It Gets,FALSE
1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jon Voight,John Grisham's The Rainmaker,FALSE
1997,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Mrs. Brown,TRUE
1997,Best Performance by an Actress in a Motion Picture - Drama,Helena Bonham Carter,"Wings of the Dove, The",FALSE
1997,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Contact,FALSE
1997,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,A Thousand Acres,FALSE
1997,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Titanic,FALSE
1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hunt,As Good as It Gets,TRUE
1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Joey Lauren Adams,Chasing Amy,FALSE
1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pam Grier,Jackie Brown,FALSE
1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lopez,Selena,FALSE
1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,My Best Friend's Wedding,FALSE
1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Basinger,L.A. Confidential,TRUE
1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Cusack,In & Out,FALSE
1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julianne Moore,Boogie Nights,FALSE
1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Stuart,Titanic,FALSE
1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sigourney Weaver,"Ice Storm, The",FALSE
1998,Best Director - Motion Picture,Steven Spielberg,Saving Private Ryan,TRUE
1998,Best Director - Motion Picture,Shekhar Kapur,Elizabeth,FALSE
1998,Best Director - Motion Picture,John Madden,Shakespeare in Love,FALSE
1998,Best Director - Motion Picture,Robert Redford,"Horse Whisperer, The",FALSE
1998,Best Director - Motion Picture,Peter Weir,The Truman Show,FALSE
1998,Best Motion Picture - Drama,Steven Spielberg,Saving Private Ryan,TRUE
1998,Best Motion Picture - Drama,Bill Condon,Gods and Monsters,FALSE
1998,Best Motion Picture - Drama,Robert Redford,"Horse Whisperer, The",FALSE
1998,Best Motion Picture - Drama,Peter Weir,The Truman Show,FALSE
1998,Best Motion Picture - Drama,Shekhar Kapur,Elizabeth,FALSE
1998,Best Motion Picture - Musical or Comedy,John Madden,Shakespeare in Love,TRUE
1998,Best Motion Picture - Musical or Comedy,Warren Beatty,Bulworth,FALSE
1998,Best Motion Picture - Musical or Comedy,Martin Campbell,"Mask of Zorro, The",FALSE
1998,Best Motion Picture - Musical or Comedy,Tom Shadyac,Patch Adams,FALSE
1998,Best Motion Picture - Musical or Comedy,Brian Gibson,Still Crazy,FALSE
1998,Best Motion Picture - Musical or Comedy,Peter Farrelly and Bobby Farrelly,There's Something About Mary,FALSE
1998,Best Performance by an Actor in a Motion Picture - Drama,Jim Carrey,The Truman Show,TRUE
1998,Best Performance by an Actor in a Motion Picture - Drama,Stephen Fry,Wilde,FALSE
1998,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Saving Private Ryan,FALSE
1998,Best Performance by an Actor in a Motion Picture - Drama,Ian McKellen,Gods and Monsters,FALSE
1998,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,Affliction,FALSE
1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Little Voice,TRUE
1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Antonio Banderas,"Mask of Zorro, The",FALSE
1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Bulworth,FALSE
1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Primary Colors,FALSE
1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Patch Adams,FALSE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,The Truman Show,TRUE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,"Civil Action, A",FALSE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bill Murray,Rushmore,FALSE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Geoffrey Rush,Shakespeare in Love,FALSE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Donald Sutherland,Without Limits,FALSE
1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Billy Bob Thornton,"Simple Plan, a",FALSE
1998,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth,TRUE
1998,Best Performance by an Actress in a Motion Picture - Drama,Fernanda Montenegro,Central Station,FALSE
1998,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Stepmom,FALSE
1998,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,One True Thing,FALSE
1998,Best Performance by an Actress in a Motion Picture - Drama,Emily Watson,Hilary and Jackie,FALSE
1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Gwyneth Paltrow,Shakespeare in Love,TRUE
1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,You've Got Mail,FALSE
1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cameron Diaz,There's Something About Mary,FALSE
1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jane Horrocks,Little Voice,FALSE
1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Christina Ricci,"Opposite of Sex, The",FALSE
1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lynn Redgrave,Gods and Monsters,TRUE
1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,Primary Colors,FALSE
1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Blethyn,Little Voice,FALSE
1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judi Dench,Shakespeare in Love,FALSE
1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sharon Stone,The Mighty,FALSE
1999,Best Director - Motion Picture,Sam Mendes,American Beauty,TRUE
1999,Best Director - Motion Picture,Norman Jewison,"Hurricane, The",FALSE
1999,Best Director - Motion Picture,Neil Jordan,The End of the Affair,FALSE
1999,Best Director - Motion Picture,Michael Mann,The Insider,FALSE
1999,Best Director - Motion Picture,Anthony Minghella,The Talented Mr. Ripley,FALSE
1999,Best Motion Picture - Drama,Sam Mendes,American Beauty,TRUE
1999,Best Motion Picture - Drama,Neil Jordan,The End of the Affair,FALSE
1999,Best Motion Picture - Drama,Norman Jewison,"Hurricane, The",FALSE
1999,Best Motion Picture - Drama,Michael Mann,The Insider,FALSE
1999,Best Motion Picture - Drama,Anthony Minghella,The Talented Mr. Ripley,FALSE
1999,Best Motion Picture - Musical or Comedy,John Lasseter,Toy Story 2,TRUE
1999,Best Motion Picture - Musical or Comedy,Spike Jonze,Being John Malkovich,FALSE
1999,Best Motion Picture - Musical or Comedy,Miloš Forman,Man on the Moon,FALSE
1999,Best Motion Picture - Musical or Comedy,Roger Michell,Notting Hill,FALSE
1999,Best Motion Picture - Musical or Comedy,Harold Ramis,Analyze This,FALSE
1999,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Hurricane, The",TRUE
1999,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,The Insider,FALSE
1999,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,The Talented Mr. Ripley,FALSE
1999,Best Performance by an Actor in a Motion Picture - Drama,Richard Farnsworth,The Straight Story,FALSE
1999,Best Performance by an Actor in a Motion Picture - Drama,Kevin Spacey,American Beauty,FALSE
1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Man on the Moon,TRUE
1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sean Penn,Sweet and Lowdown,FALSE
1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,Analyze This,FALSE
1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rupert Everett,"Ideal Husband, An",FALSE
1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Notting Hill,FALSE
1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Magnolia,TRUE
1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Haley Joel Osment,"Sixth Sense, The",FALSE
1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Caine,"Cider House Rules, The",FALSE
1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Clarke Duncan,"Green Mile, The",FALSE
1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jude Law,The Talented Mr. Ripley,FALSE
1999,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Boys Don't Cry,TRUE
1999,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,The End of the Affair,FALSE
1999,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Music of the Heart,FALSE
1999,Best Performance by an Actress in a Motion Picture - Drama,Sigourney Weaver,"Map of the World, A",FALSE
1999,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,American Beauty,FALSE
1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Janet McTeer,Tumbleweeds,TRUE
1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julianne Moore,"Ideal Husband, An",FALSE
1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Notting Hill,FALSE
1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sharon Stone,"Muse, The",FALSE
1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Election,FALSE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angelina Jolie,"Girl, Interrupted",TRUE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Being John Malkovich,FALSE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Catherine Keener,Being John Malkovich,FALSE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Samantha Morton,Sweet and Lowdown,FALSE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Natalie Portman,Anywhere But Here,FALSE
1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Chloë Sevigny,Boys Don't Cry,FALSE
2000,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE
2000,Best Director - Motion Picture,Ridley Scott,Gladiator,FALSE
2000,Best Director - Motion Picture,Steven Soderbergh,Erin Brockovich,FALSE
2000,Best Director - Motion Picture,Steven Soderbergh,Traffic,FALSE
2000,Best Director - Motion Picture,István Szabó,Sunshine,FALSE
2000,Best Motion Picture - Drama,Ridley Scott,Gladiator,TRUE
2000,Best Motion Picture - Drama,Stephen Daldry,Billy Elliot,FALSE
2000,Best Motion Picture - Drama,Steven Soderbergh,Erin Brockovich,FALSE
2000,Best Motion Picture - Drama,Danny Boyle,Sunshine,FALSE
2000,Best Motion Picture - Drama,Steven Soderbergh,Traffic,FALSE
2000,Best Motion Picture - Drama,Curtis Hanson,Wonder Boys,FALSE
2000,Best Motion Picture - Musical or Comedy,Cameron Crowe,Almost Famous,TRUE
2000,Best Motion Picture - Musical or Comedy,Joel Coen and Ethan Coen,"O Brother, Where Art Thou?",FALSE
2000,Best Motion Picture - Musical or Comedy,Christopher Guest,Best in Show,FALSE
2000,Best Motion Picture - Musical or Comedy,Nick Park and Peter Lord,Chicken Run,FALSE
2000,Best Motion Picture - Musical or Comedy,Lasse Hallström,Chocolat,FALSE
2000,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Cast Away,TRUE
2000,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,Before Night Falls,FALSE
2000,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Gladiator,FALSE
2000,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wonder Boys,FALSE
2000,Best Performance by an Actor in a Motion Picture - Drama,Geoffrey Rush,Quills,FALSE
2000,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Clooney,"O Brother, Where Art Thou?",TRUE
