year,category,full_name,Film,won
1996,FEMALE LEAD ROLE,FRANCES McDORMAND,FARGO,TRUE
1996,FEMALE LEAD ROLE,DIANE KEATON,MARVIN'S ROOM,FALSE
1996,FEMALE LEAD ROLE,BRENDA BLETHYN,SECRETS & LIES,FALSE
1996,FEMALE LEAD ROLE,KRISTIN SCOTT THOMAS,THE ENGLISH PATIENT,FALSE
1996,FEMALE LEAD ROLE,GENA ROWLANDS,UNHOOK THE STARS,FALSE
1996,FEMALE SUPPORTING ROLE,RENEE ZELLWEGER,JERRY MAGUIRE,FALSE
1996,FEMALE SUPPORTING ROLE,GWEN VERDON,MARVIN'S ROOM,FALSE
1996,FEMALE SUPPORTING ROLE,JULIETTE BINOCHE,THE ENGLISH PATENT,FALSE
1996,FEMALE SUPPORTING ROLE,LAUREN BACALL,THE MIRROR HAS TWO FACES,TRUE
1996,FEMALE SUPPORTING ROLE,MARISA TOMEI,UNHOOK THE STARS,FALSE
1996,MALE LEAD ROLE,TOM CRUISE,JERRY MAGUIRE,FALSE
1996,MALE LEAD ROLE,GEOFFREY RUSH,SHINE,TRUE
1996,MALE LEAD ROLE,BILLY BOB THORNTON,SLING BLADE,FALSE
1996,MALE LEAD ROLE,RALPH FIENNES,THE ENGLISH PATIENT,FALSE
1996,MALE LEAD ROLE,WOODY HARRELSON,THE PEOPLE VS. LARRY FLYNT,FALSE
1996,MALE SUPPORTING ROLE,WILLIAM H. MACY,FARGO,FALSE
1996,MALE SUPPORTING ROLE,"CUBA GOODING, JR.",JERRY MAGUIRE,TRUE
1996,MALE SUPPORTING ROLE,NOAH TAYLOR,SHINE,FALSE
1996,MALE SUPPORTING ROLE,HANK AZARIA,THE BIRDCAGE,FALSE
1996,MALE SUPPORTING ROLE,NATHAN LANE,THE BIRDCAGE,FALSE
1996,MOTION PICTURE,Jerry Zaks,MARVIN'S ROOM,FALSE
1996,MOTION PICTURE,Scott Hicks,SHINE,FALSE
1996,MOTION PICTURE,Billy Bob Thornton,SLING BLADE,FALSE
1996,MOTION PICTURE,Mike Nichols,THE BIRDCAGE,TRUE
1996,MOTION PICTURE,Anthony Minghella,THE ENGLISH PATIENT,FALSE
1997,FEMALE LEAD ROLE,HELEN HUNT,AS GOOD AS IT GETS,TRUE
1997,FEMALE LEAD ROLE,PAM GRIER,JACKIE BROWN,FALSE
1997,FEMALE LEAD ROLE,JUDI DENCH,MRS. BROWN,FALSE
1997,FEMALE LEAD ROLE,ROBIN WRIGHT,SHE'S SO LOVELY,FALSE
1997,FEMALE LEAD ROLE,HELENA BONHAM CARTER,THE WINGS OF THE DOVE,FALSE
1997,FEMALE LEAD ROLE,KATE WINSLET,TITANIC,FALSE
1997,FEMALE SUPPORTING ROLE,JULIANNE MOORE,BOOGIE NIGHTS,FALSE
1997,FEMALE SUPPORTING ROLE,MINNIE DRIVER,GOOD WILL HUNTING,FALSE
1997,FEMALE SUPPORTING ROLE,KIM BASINGER,L.A. CONFIDENTIAL,TRUE
1997,FEMALE SUPPORTING ROLE,ALISON ELLIOTT,THE WINGS OF THE DOVE,FALSE
1997,FEMALE SUPPORTING ROLE,GLORIA STUART,TITANIC,TRUE
1997,MALE LEAD ROLE,JACK NICHOLSON,AS GOOD AS IT GETS,TRUE
1997,MALE LEAD ROLE,MATT DAMON,GOOD WILL HUNTING,FALSE
1997,MALE LEAD ROLE,ROBERT DUVALL,THE APOSTLE,FALSE
1997,MALE LEAD ROLE,PETER FONDA,ULEE'S GOLD,FALSE
1997,MALE LEAD ROLE,DUSTIN HOFFMAN,WAG THE DOG,FALSE
1997,MALE SUPPORTING ROLE,ANTHONY HOPKINS,AMISTAD,FALSE
1997,MALE SUPPORTING ROLE,GREG KINNEAR,AS GOOD AS IT GETS,FALSE
1997,MALE SUPPORTING ROLE,BURT REYNOLDS,BOOGIE NIGHTS,FALSE
1997,MALE SUPPORTING ROLE,ROBIN WILLIAMS,GOOD WILL HUNTING,TRUE
1997,MALE SUPPORTING ROLE,BILLY CONNOLLY,MRS. BROWN,FALSE
1997,MOTION PICTURE,Paul Thomas Anderson,BOOGIE NIGHTS,FALSE
1997,MOTION PICTURE,Gus Van Sant,GOOD WILL HUNTING,FALSE
1997,MOTION PICTURE,Curtis Hanson,L.A. CONFIDENTIAL,FALSE
1997,MOTION PICTURE,Peter Cattaneo,THE FULL MONTY,TRUE
1997,MOTION PICTURE,James Cameron,TITANIC,FALSE
1998,FEMALE LEAD ROLE,CATE BLANCHETT,ELIZABETH,FALSE
1998,FEMALE LEAD ROLE,EMILY WATSON,HILARY AND JACKIE,FALSE
1998,FEMALE LEAD ROLE,JANE HORROCKS,LITTLE VOICE,FALSE
1998,FEMALE LEAD ROLE,MERYL STREEP,ONE TRUE THING,FALSE
1998,FEMALE LEAD ROLE,GWYNETH PALTROW,SHAKESPEARE IN LOVE,TRUE
1998,FEMALE SUPPORTING ROLE,LYNN REDGRAVE,GODS AND MONSTERS,FALSE
1998,FEMALE SUPPORTING ROLE,RACHEL GRIFFITHS,HILARY AND JACKIE,FALSE
1998,FEMALE SUPPORTING ROLE,BRENDA BLETHYN,LITTLE VOICE,FALSE
1998,FEMALE SUPPORTING ROLE,KATHY BATES,PRIMARY COLORS,TRUE
