Film,Year,Awards,Nominations
Oppenheimer,2023,7,13
Poor Things,2023,4,11
The Zone of Interest,2023,2,5
American Fiction,2023,1,5
Anatomy of a Fall,2023,1,5
Barbie,2023,1,8
The Boy and the Heron,2023,1,1
Godzilla Minus One,2023,1,1
The Holdovers,2023,1,5
The Last Repair Shop,2023,1,1
20 Days in Mariupol,2023,1,1
War Is Over! Inspired by the Music of John and Yoko,2023,1,1
The Wonderful Story of Henry Sugar,2023,1,1
Killers of the Flower Moon,2023,0,10
Maestro,2023,0,7
All of Us Strangers,2023,0,0
Saltburn,2023,0,0
