R_YEAR,CATEGORY,NAME,FILM,O_WIN,GG_WIN,GG_NOM,SAG_WIN,SAG_NOM,BAFTA_WIN,BAFTA_NOM,Predicted_O_WIN,Win_Probability
2023,ACTOR IN A LEADING ROLE,BRADLEY COOPER,MAESTRO,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.1076608591
2023,ACTOR IN A LEADING ROLE,COLMAN DOMINGO,RUSTIN,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.1076608591
2023,ACTOR IN A LEADING ROLE,PAUL GIAMATTI,THE HOLDOVERS,10-03-2024,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.3993665314
2023,ACTOR IN A LEADING ROLE,CILLIAN MURPHY,OPPENHEIMER,10-03-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.9684328808
2023,ACTOR IN A LEADING ROLE,JEFFREY WRIGHT,AMERICAN FICTION,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.1138975326
2023,ACTOR IN A SUPPORTING ROLE,STERLING K. BROWN,AMERICAN FICTION,10-03-2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.2538037987
2023,ACTOR IN A SUPPORTING ROLE,ROBERT DE NIRO,KILLERS OF THE FLOWER MOON,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.06954982278
2023,ACTOR IN A SUPPORTING ROLE,ROBERT DOWNEY JR.,OPPENHEIMER,10-03-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.9891237422
2023,ACTOR IN A SUPPORTING ROLE,RYAN GOSLING,BARBIE,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.06954982278
2023,ACTOR IN A SUPPORTING ROLE,MARK RUFFALO,POOR THINGS,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.0352997373
2023,ACTRESS IN A LEADING ROLE,ANNETTE BENING,NYAD,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.03913981834
2023,ACTRESS IN A LEADING ROLE,LILY GLADSTONE,KILLERS OF THE FLOWER MOON,10-03-2024,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.9537662858
2023,ACTRESS IN A LEADING ROLE,SANDRA HÜLLER,ANATOMY OF A FALL,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.005794019934
2023,ACTRESS IN A LEADING ROLE,CAREY MULLIGAN,MAESTRO,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.0274685652
2023,ACTRESS IN A LEADING ROLE,EMMA STONE,POOR THINGS,10-03-2024,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0.7937609821
2023,ACTRESS IN A SUPPORTING ROLE,EMILY BLUNT,OPPENHEIMER,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.07770878432
2023,ACTRESS IN A SUPPORTING ROLE,DANIELLE BROOKS,THE COLOR PURPLE,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.07770878432
2023,ACTRESS IN A SUPPORTING ROLE,AMERICA FERRERA,BARBIE,10-03-2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.3770635278
2023,ACTRESS IN A SUPPORTING ROLE,JODIE FOSTER,NYAD,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.005421245421
2023,ACTRESS IN A SUPPORTING ROLE,DA'VINE JOY RANDOLPH,THE HOLDOVERS,10-03-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.9977142857
2023,BEST PICTURE,CORD JEFFERSON,AMERICAN FICTION,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.1850666758
2023,BEST PICTURE,JUSTINE TRIET,ANATOMY OF A FALL,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.1175911044
2023,BEST PICTURE,GRETA GERWIG,BARBIE,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.1850666758
2023,BEST PICTURE,ALEXANDER PAYNE,THE HOLDOVERS,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.1175911044
2023,BEST PICTURE,MARTIN SCORSESE,KILLERS OF THE FLOWER MOON,10-03-2024,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.2217224668
2023,BEST PICTURE,BRADLEY COOPER,MAESTRO,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.04681404168
2023,BEST PICTURE,CHRISTOPHER NOLAN,OPPENHEIMER,10-03-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.9440139387
2023,BEST PICTURE,CELINE SONG,PAST LIVES,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.04681404168
2023,BEST PICTURE,YORGOS LANTHIMOS,POOR THINGS,10-03-2024,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.5894762404
2023,BEST PICTURE,JONATHAN GLAZER,THE ZONE OF INTEREST,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.04681404168
2023,DIRECTING,JUSTINE TRIET,ANATOMY OF A FALL,10-03-2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.07759186282
2023,DIRECTING,MARTIN SCORSESE,KILLERS OF THE FLOWER MOON,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.1579405165
2023,DIRECTING,CHRISTOPHER NOLAN,OPPENHEIMER,10-03-2024,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0.956515646
2023,DIRECTING,YORGOS LANTHIMOS,POOR THINGS,10-03-2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.1579405165
2023,DIRECTING,JONATHAN GLAZER,THE ZONE OF INTEREST,10-03-2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.07759186282
